repo_name,url,pulls_count_open,pulls_count_closed,issues_count_open,issues_count_closed,commits_count,branches_count,releases_count,owner_type,watchers_count,forks_count,stargazers_count,development_time,owner_account_age,avg_dev_account_age,has_test,has_doc,has_example,has_readme,owner_projects_count,owner_following,owner_followers,devs_followers_avg,devs_following_avg,commits_by_dev_with_most_commits,magnetism,stickiness,wealth,last_commit_age,productive_duration
pmineiro/vowpal_wabbit,https://github.com/pmineiro/vowpal_wabbit,1,12,2,14,34,3,1,1,1,0,1,3940,3493,3210.039548022599,True,True,True,True,23,0,44,68.64406779661017,20.62146892655367,1870,0.3333333333333333,1.5,8.75,454,3940
php-lock/lock,https://github.com/php-lock/lock,0,3,0,3,503,6,0,0,798,76,798,2135,1221,3637.1428571428573,True,False,False,True,1,0,0,61.142857142857146,13.714285714285714,90,0.125,0.3333333333333333,0.5625,76,2135
apache/allura,https://github.com/apache/allura,0,4,2,5,22,1093,0,0,93,24,93,4281,4589,3387.625,True,True,True,True,2232,0,0,33.4375,12.75,2309,1.5,1.0,3.5,17,4353
robrich/gulp-exec,https://github.com/robrich/gulp-exec,1,4,19,5,15,1,2,1,162,20,162,2171,3806,3292.777777777778,True,False,False,True,186,0,268,333.6666666666667,16.333333333333332,47,0.0,0,4.0,428,2171
fbradyirl/hikvision,https://github.com/fbradyirl/hikvision,0,0,0,0,114,1,0,1,95,38,95,2105,4124,3798.75,True,False,False,True,48,8,12,90.25,4.25,42,0.17857142857142858,1.2,0.0,145,2105
montagejs/collections,https://github.com/montagejs/collections,2,51,37,149,268,10,0,0,1948,201,1948,3118,3310,3721.714285714286,True,False,False,True,66,0,0,136.21428571428572,32.857142857142854,267,0.5,0.6111111111111112,39.450865800865806,164,3118
jsiwek/actor-framework,https://github.com/jsiwek/actor-framework,4,25,4,25,52,24,1,1,2,0,2,3568,3968,3097.677966101695,True,True,True,True,63,0,82,56.59322033898305,13.864406779661017,4573,0.15555555555555556,0.7142857142857143,23.642857142857142,244,3568
iPublicis/e-cidadania,https://github.com/iPublicis/e-cidadania,0,3,3,14,27,4,0,1,0,0,0,3555,3251,3583.842105263158,True,True,False,True,406,11,10,31.157894736842106,21.210526315789473,1152,0.125,1.0,3.0,334,3555
kovisoft/paredit,https://github.com/kovisoft/paredit,0,3,0,8,62,1,0,1,67,17,67,3096,3043,3676.4375,False,True,False,True,5,0,20,401.5625,15.75,90,0.1111111111111111,2.0,3.0,130,3096
davidvarga/MBeautifier,https://github.com/davidvarga/MBeautifier,0,0,0,0,51,1,0,1,275,51,275,2126,2266,2026.5714285714287,False,False,False,True,3,0,10,39.857142857142854,1.2857142857142858,119,0.05263157894736842,2.0,0.0,106,2260
wikimedia/mediawiki-extensions-NukeDPL,https://github.com/wikimedia/mediawiki-extensions-NukeDPL,0,3,6,14,32,15,1,0,0,1,0,2692,4555,2991.133333333333,False,False,False,False,2347,0,0,46.333333333333336,9.733333333333333,75,0.2222222222222222,1.5,2.3333333333333335,1,2743
jaburns/super-time-warp,https://github.com/jaburns/super-time-warp,0,3,1,3,262,2,0,1,7,2,7,2061,3831,3461.5,False,False,False,True,84,19,49,18.5,8.75,133,0.5,0.5,2.3333333333333335,332,2061
sjvermeu/cvechecker,https://github.com/sjvermeu/cvechecker,0,6,1,7,15,2,3,1,200,60,200,3429,4039,3227.625,False,True,True,True,8,0,50,71.125,21.375,146,0.3333333333333333,2.0,6.0,61,3429
admb-project/admb-project.github.io,https://github.com/admb-project/admb-project.github.io,0,31,4,57,241,1,3,0,1,3,1,1675,2911,2546.6,False,True,True,True,14,0,0,17.2,1.8,669,1.0,0.5,29.0,147,1675
theseal/ssh-askpass,https://github.com/theseal/ssh-askpass,0,0,0,0,189,1,0,1,119,24,119,2476,3728,4100.428571428572,False,False,False,True,25,10,13,35.0,26.0,36,0.19047619047619047,1.0,0.0,8,2497
planetarypy/pvl,https://github.com/planetarypy/pvl,1,41,18,54,305,1,0,0,16,15,16,2168,2319,3830.3333333333335,True,True,False,True,10,0,0,47.5,19.0,204,0.2909090909090909,0.5,41.0,61,2263
cern-mig/java-dirq-test,https://github.com/cern-mig/java-dirq-test,1,41,18,54,305,1,0,0,2,1,2,2771,3116,2952.3333333333335,True,False,False,True,10,0,0,1.6666666666666667,1.0,44,0.2909090909090909,0.5,41.0,304,2771
tats/w3m,https://github.com/tats/w3m,2,129,50,172,107,14,29,1,356,41,356,7179,4201,3010.714285714286,True,True,False,True,18,0,20,27.653061224489797,10.591836734693878,1145,0.3617021276595745,0.35294117647058826,122.29166666666666,28,7247
bugsnag/cocoapods-bugsnag,https://github.com/bugsnag/cocoapods-bugsnag,0,51,4,51,161,1,22,0,7,2,7,149,3618,3413.125,True,False,False,True,100,0,0,323.375,10.5,20,0.8333333333333334,0.6,50.5,267,149
kazoompa/mica-drupal7,https://github.com/kazoompa/mica-drupal7,0,1,0,1,65,9,0,1,0,0,0,2171,3192,3073.5,False,False,False,True,37,0,1,5.0,0.625,1253,0.0,0,1.0,505,2171
mdcallag/linkbench,https://github.com/mdcallag/linkbench,1,2,8,15,37,6,0,1,27,14,27,3149,3409,3181.705882352941,True,True,False,True,19,0,138,31.235294117647058,3.588235294117647,77,0.0,0,2.0,191,3149
logstash-plugins/logstash-filter-drop,https://github.com/logstash-plugins/logstash-filter-drop,1,349,26,392,798,4,0,0,5,13,5,2175,2511,4089.5384615384614,True,True,False,True,267,0,0,278.46153846153845,18.23076923076923,38,0.36363636363636365,0.5,343.65,222,2175
erlangpack/mimetypes,https://github.com/erlangpack/mimetypes,0,1,0,2,16,1,0,0,77,37,77,3164,1512,3939.090909090909,True,False,False,True,5,0,0,153.36363636363637,65.27272727272727,34,0.375,0.3333333333333333,1.0,229,3164
mskilab/gTrack,https://github.com/mskilab/gTrack,0,10,0,22,28,15,0,1,13,7,13,2123,2276,2550.1428571428573,True,True,False,True,26,0,56,37.42857142857143,25.714285714285715,466,1.0,1.5,10.0,78,2123
Doom-Utils/iwad-patches,https://github.com/Doom-Utils/iwad-patches,0,0,0,0,31,1,0,0,36,6,36,1613,2185,2721.0,False,False,False,True,11,0,0,24.0,14.0,45,0.0,0,0.0,109,1613
christianwach/commentpress-core,https://github.com/christianwach/commentpress-core,1,18,9,79,97,3,0,1,0,0,0,3011,3776,3924.25,False,False,False,True,133,31,48,122.5,19.5,984,0.25,0.7142857142857143,15.61111111111111,156,3245
horosproject/horos,https://github.com/horosproject/horos,1,4,1,4,26,51,3,1,323,117,323,5405,2406,3093.1363636363635,False,False,False,True,2,11,123,18.90909090909091,4.045454545454546,9181,0.7142857142857143,0.4,4.0,236,5405
Appdynamics/aws-lambda-monitoring-extension,https://github.com/Appdynamics/aws-lambda-monitoring-extension,8,388,64,703,442,9,44,0,2,1,2,1298,3369,2020.888888888889,True,False,False,True,475,0,0,2.5555555555555554,20.444444444444443,13,0.12195121951219512,0.6,381.2833333333333,53,1321
liebke/zookeeper-clj,https://github.com/liebke/zookeeper-clj,0,83,14,102,205,1,8,1,162,23,162,3212,4539,3518.0,True,False,True,True,12,3,215,71.42857142857143,11.142857142857142,111,0.25,1.0,82.16666666666667,378,3212
naver/arcus-c-client,https://github.com/naver/arcus-c-client,1,9,9,21,116,9,2,0,10,12,10,2702,2747,2627.6363636363635,True,True,True,True,186,0,0,8.363636363636363,10.636363636363637,271,0.0,0,7.833333333333333,39,2702
lmirosevic/GBDeviceInfo,https://github.com/lmirosevic/GBDeviceInfo,10,47,25,67,41,1,0,1,1082,175,1082,2948,3436,3162.730769230769,False,False,False,True,90,33,105,40.61538461538461,37.57692307692308,182,0.14285714285714285,0.6363636363636364,42.541666666666664,263,2948
TYPO3/Fluid,https://github.com/TYPO3/Fluid,1,9,8,41,240,14,7,0,137,75,137,4605,4486,3473.470588235294,True,True,True,True,24,0,0,36.73529411764706,12.117647058823529,342,0.35714285714285715,1.0,8.5,98,4605
JohnMaguire/Cardinal,https://github.com/JohnMaguire/Cardinal,2,113,4,132,290,6,0,1,87,36,87,3095,3979,2676.769230769231,False,False,False,True,27,127,91,27.692307692307693,15.153846153846153,583,0.3793103448275862,0.5454545454545454,103.49999999999999,36,3144
flownative/neos-cachemanagement,https://github.com/flownative/neos-cachemanagement,0,2,1,3,15,1,1,0,5,4,5,0,2449,3912.0,False,False,False,True,91,0,0,43.4,6.6,10,0.06666666666666667,1.5,2.0,48,0
jsoverson/preprocess,https://github.com/jsoverson/preprocess,0,1,0,1,11,1,1,1,314,80,314,2975,3741,3522.5833333333335,True,False,False,True,146,110,424,103.58333333333333,24.666666666666668,83,0.3333333333333333,2.0,1.0,152,2975
monich/harbour-swissclock,https://github.com/monich/harbour-swissclock,0,4,12,12,27,1,0,1,1,3,1,2464,2856,2449.6666666666665,False,False,False,True,89,0,34,13.0,0.0,75,0.42857142857142855,0.6666666666666666,3.5,41,2464
Pottus/Texture-Studio,https://github.com/Pottus/Texture-Studio,0,19,0,19,72,2,0,1,50,49,50,2430,3068,1931.6666666666667,True,False,False,True,3,0,28,14.666666666666666,6.555555555555555,108,0.35714285714285715,0.2,19.0,142,2430
kittylyst/fix8on,https://github.com/kittylyst/fix8on,1,34,4,53,49,2,4,1,6,5,6,0,4506,3489.5,True,False,False,True,44,46,345,146.5,18.75,22,0.4,0.3888888888888889,29.152777777777775,91,0
himynameisjonas/jonas.brusman.se,https://github.com/himynameisjonas/jonas.brusman.se,1,24,6,49,117,5,1,1,3,0,3,351,4654,2205.0,False,False,False,False,65,29,48,60.5,7.25,215,0.17647058823529413,1.0,22.833333333333332,6,380
rickysarraf/apt-offline,https://github.com/rickysarraf/apt-offline,0,3,0,10,46,6,0,1,118,31,118,5649,4552,3751.25,True,False,False,True,37,10,31,45.25,10.666666666666666,1087,0.1111111111111111,2.0,2.25,44,5649
bdcht/amoco,https://github.com/bdcht/amoco,1,22,4,36,34,1,0,1,420,64,420,2543,3779,3137.875,True,True,False,True,8,35,87,101.875,60.875,288,0.8,0.25,22.0,96,2543
